person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight,anes_respondent_id,tipi_extraversion_anes,tipi_agreeableness_anes,tipi_conscientiousness_anes,tipi_emotional_stability_anes,tipi_openness_anes,moral_traditionalism_anes,egalitarianism_anes,opinion_strength_anes,party_id_7pt_anes,ideology_7pt_anes,religion_group_anes,religion_importance_anes,religion_attendance_anes,anes_match_distance,gss_respondent_id,social_trust_gss,usual_hours_worked_gss,general_happiness_gss,gss_match_distance,atus_respondent_id,wake_time_atus,atus_match_distance
2024HU1395724_4,NM,New Mexico,West,00100,Female,23,American Indian or Alaska Native alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CLN-Maids And Housekeeping Cleaners,ENT-Traveler Accommodation,Never married or under 15 years old,Brother or sister,Females with no own children,7,No,275,470,4,4,4.5,4,5.5,2.75,3.25,1.6666666666666667,4,5,Other religion,Not important,A few times a year,0.17324561403508776,gss_2022_1900,Can't be too careful,40,Pretty happy,0.002192982456140413,20241110240189,09:00:00,0.16666666666666663
2024HU0434931_1,CO,Colorado,West,01301,Female,62,Some other race alone,Not Spanish/Hispanic/Latino,Associate's degree,EDU-Elementary And Middle School Teachers,EDU-Elementary And Secondary Schools,Married,Reference person,Females with no own children,4,N/A (less than 15 years/greater than 50 years/ male),217,4079,5.5,6,6.5,4.5,6,1.75,3.75,3,7,5,Other religion,Important,Every week,0.16885964912280704,gss_2022_3037,Can't be too careful,45,Pretty happy,0.004385964912280715,20231009231451,07:30:00,0.06751054852320681
2024HU0462433_1,CA,California,West,09704,Male,53,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",CLN-Janitors And Building Cleaners,EDU-Elementary And Secondary Schools,Divorced,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),62,890,4,4.5,5.5,4,3,3.75,2,4,1,2,Not religious,Not important,Never,0.004385964912280715,gss_2016_2414,Can't be too careful,60,Not too happy,0.006578947368421129,20241109242359,07:00:00,0.006329113924050667
2024HU1340605_1,FL,Florida,South,09901,Male,46,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,MGR-Sales Managers,"MFG-Machinery, N.E.C. Or Not Specified",Divorced,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),84,5075,4,3.5,7,4.5,4.5,2.5,1.75,1.6666666666666667,5,5,Roman Catholic,Not important,Never,0.01754385964912275,gss_2018_1661,Can trust people,35,Not too happy,0.004385964912280715,20240504240526,06:00:00,0.002109704641350185
2024HU1294073_2,NY,New York,Northeast,01600,Male,32,Hispanic or Latino (any race),Dominican,Grade 10,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Same-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),236,2081,4,4.5,6,5.5,4,1,2.5,3.3333333333333335,4,5,Undifferentiated Christian,Not important,Never,0.1798245614035089,gss_2016_66,Depends,40,Pretty happy,0.17105263157894735,20240908241397,06:20:00,0.006329113924050667
2024HU1277640_2,MI,Michigan,Midwest,02701,Female,65,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,OFF-Billing And Posting Clerks,MED-Offices Of Dentists,Married,Opposite-sex husband/wife/spouse,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),497,2237,4.5,5.5,6,6,5.5,2.5,3,2.6666666666666665,7,6,Roman Catholic,Important,Every week,0,gss_2018_2190,Can trust people,30,Pretty happy,0.019736842105263164,20241009242139,07:00:00,0
2024HU1356198_1,IL,Illinois,Midwest,11500,Female,49,Black or African American alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",OFF-Customer Service Representatives,"RET-Health And Personal Care, Except Pharmacies And Drug, Retailers",Never married or under 15 years old,Reference person,Females with no own children,1,No,323,3588,3,6,6,6,5.5,2,1.75,2.3333333333333335,1,4,Mainline Protestant,Important,A few times a year,0.006578947368421129,gss_2024_2614,Can't be too careful,32,Pretty happy,0.04166666666666663,20241210241579,07:00:00,0.012658227848101333
2024HU0804480_1,MO,Missouri,Midwest,01105,Female,52,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked","Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked",Never married or under 15 years old,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),254,2870,4,5.5,3.5,4,5.5,3,3,1,2,6,Not religious,Not important,Never,0.05482456140350889,gss_2016_829,Can't be too careful,62,Not too happy,0.030701754385964897,20240302241416,04:50:00,0.0042194092827004814
2024HU1408228_2,CO,Colorado,West,00902,Female,19,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Biological son or daughter,Females with no own children,2,No,129,3838,4,4.5,4.5,4.5,4.5,3,3.25,3,6,3,Other religion,Important,Almost every week,0.004385964912280715,gss_2022_1284,Can't be too careful,40,Pretty happy,0.004385964912280715,20240201240087,07:30:00,0.002109704641350185
2024HU0891886_1,MI,Michigan,Midwest,03207,Male,65,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,PRD-Miscellaneous Plant And System Operators,TRN-Pipeline Transportation,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),268,3845,4,6,6,4.5,5,1,2.75,3,7,6,Evangelical Protestant,Important,Every week,0.002192982456140413,gss_2018_1058,Can't be too careful,40,Pretty happy,0,20231111231175,05:00:00,0
2024HU0013439_2,TX,Texas,South,02101,Male,51,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree","OFF-Dispatchers, Except Police, Fire, And Ambulance","ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),79,559,4.5,5,5.5,4,5,1.75,3.25,4.333333333333333,7,5,Evangelical Protestant,Important,Every week,0.004385964912280715,gss_2018_1665,Can't be too careful,1,Pretty happy,0.030701754385964897,20230605232333,04:30:00,0.002109704641350185
2024HU1104571_2,TX,Texas,South,02101,Male,26,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders",RET-Supermarkets And Other Grocery (Except Convenience) Retailers,Separated,Other relative,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),779,3097,3,4,2,4,4.5,3.25,2.75,3.3333333333333335,7,4,Evangelical Protestant,Important,Once or twice a month,0.17324561403508776,gss_2024_3183,Can trust people,40,Pretty happy,0.030701754385964897,20240302241411,07:30:00,0.10548523206751048
2024HU0964539_1,NE,Nebraska,Midwest,00500,Female,27,White alone,Not Spanish/Hispanic/Latino,Master's degree,"CMS-Social Workers, All Other",EDU-Elementary And Secondary Schools,Married,Reference person,Females with own children under 6 years only,4,Yes,166,4502,4,4,4,4,4,4,2.75,3,7,7,Roman Catholic,Important,Almost every week,0.021929824561403577,gss_2016_2189,Can trust people,45,Pretty happy,0.00877192982456132,20230111221229,06:00:00,0.002109704641350185
2024HU1290540_2,PA,Pennsylvania,Northeast,01300,Female,41,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",HLS-Massage Therapists,SRV-Nail Salons And Other Personal Care Services,Married,Opposite-sex husband/wife/spouse,Females with own children 6 to 17 years only,4,No,120,727,4.5,6.5,4.5,2.5,6,4.5,2.25,2,3,4,Mainline Protestant,Important,Once or twice a month,0.015350877192982448,gss_2018_1315,Can trust people,40,Pretty happy,0.021929824561403577,20240404240590,07:30:00,0
2024HU0287955_2,CO,Colorado,West,00200,Male,39,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EAT-First-Line Supervisors Of Food Preparation And Serving Workers,ENT-Drinking Places (Alcoholic Beverages),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),4,N/A (less than 15 years/greater than 50 years/ male),1124,451,4.5,5,6,5.5,6.5,4.75,1,1.3333333333333333,1,2,Not religious,Not important,Never,0.00877192982456132,gss_2018_804,Can trust people,15,Pretty happy,0.002192982456140413,20240806241988,08:00:00,0
2024HU1211918_1,PA,Pennsylvania,Northeast,03012,Female,74,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,BUS-Human Resources Workers,MED-Offices Of Chiropractors,Divorced,Reference person,Females with no own children,1,N/A (less than 15 years/greater than 50 years/ male),105,555,4.5,5,5.5,4.5,4.5,3.75,4,4,6,6,Mainline Protestant,Important,A few times a year,0.006578947368421129,gss_2018_1304,Depends,47,Very happy,0.028508771929824483,20230706231242,07:45:00,0.002109704641350185
2024HU0964559_1,MI,Michigan,Midwest,02600,Female,64,Two or more races,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),305,3120,5.5,5.5,5.5,5.5,5,1.5,1.5,1,5,4,Roman Catholic,Important,Every week,0.22368421052631582,gss_2018_890,Can't be too careful,40,Pretty happy,0.17543859649122806,20240403241872,10:00:00,0.16877637130801693
2024HU0649841_2,WI,Wisconsin,Midwest,02200,Male,58,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",RET-Automobile Dealers,Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),174,282,2,5,6,6,5,2,3.5,2.3333333333333335,7,6,Mainline Protestant,Important,Never,0.002192982456140413,gss_2018_283,Can trust people,52,Pretty happy,0,20240201242372,13:00:00,0
2024HU1303259_2,MI,Michigan,Midwest,02903,Female,94,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,Females with no own children,5,N/A (less than 15 years/greater than 50 years/ male),92,3484,4,6.5,6.5,5,4.5,2.75,1.75,2.3333333333333335,6,5,Evangelical Protestant,Important,Almost every week,0.039473684210526216,gss_2018_1799,Can trust people,40,Very happy,0.06798245614035092,20230605231192,07:30:00,0.01898734177215189
2024HU1092928_2,FL,Florida,South,10307,Male,78,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),70,852,3.5,4.5,6,4.5,5,2.75,3,3.6666666666666665,5,5,Roman Catholic,Important,Every week,0.00877192982456132,gss_2024_1358,Can't be too careful,20,Pretty happy,0.01754385964912275,20241109241051,06:00:00,0
2024HU0404475_1,CO,Colorado,West,02005,Female,46,Hispanic or Latino (any race),Spaniard,"Some college, but less than 1 year",OFF-Customer Service Representatives,FIN-Insurance Carriers,Married,Reference person,Females with own children 6 to 17 years only,4,No,108,2431,4.5,4,5,4.5,3,3,3,3.3333333333333335,2,4,Roman Catholic,Important,A few times a year,0.013157894736842146,gss_2016_942,Can't be too careful,40,Pretty happy,0.030701754385964897,20240402241901,06:00:00,0.008438818565400852
2024HU0755899_1,MD,Maryland,South,01300,Female,43,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",SAL-Retail Salespersons,RET-Other Miscellaneous Retailers,Divorced,Reference person,Females with own children 6 to 17 years only,3,No,241,468,7,4.5,6.5,5.5,5.5,3.5,2.25,4,6,3,Not religious,Not important,Never,0.002192982456140413,gss_2018_1509,Can't be too careful,10,Pretty happy,0.004385964912280715,20240707241389,07:00:00,0.002109704641350185
2024HU1277668_2,MD,Maryland,South,00504,Female,26,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,Females with no own children,5,No,389,40,5,5,5.5,3,6,4.25,1.5,4.666666666666667,2,2,Undifferentiated Christian,Important,A few times a year,0.16666666666666663,gss_2024_1157,Can't be too careful,49,Not too happy,0.002192982456140413,20240806241114,07:30:00,0.016877637130801815
2024HU0787520_1,MS,Mississippi,South,00600,Male,34,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),396,986,4.5,4,4,4,4,3,3,4,5,4,Mainline Protestant,Important,A few times a year,0.03289473684210531,gss_2024_2478,Can't be too careful,50,Pretty happy,0.013157894736842146,20230605231411,05:00:00,0.002109704641350185
2024HU0153965_1,SD,South Dakota,Midwest,00400,Male,28,Black or African American alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",PRT-Police Officers,"ADM-Justice, Public Order, And Safety Activities",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),199,4536,5,7,6.5,6.5,7,4.25,1.5,2,1,1,Undifferentiated Christian,Not important,Once or twice a month,0.004385964912280715,gss_2018_895,Can't be too careful,16,Very happy,0.16885964912280704,20230111221730,11:00:00,0.012658227848101333
2024HU0699406_1,NC,North Carolina,South,00900,Male,39,Hispanic or Latino (any race),Honduran,Bachelor's degree,CMM-Software Developers,"FIN-Agencies, Brokerages, And Other Insurance Related Activities",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),88,625,5.5,4.5,5.5,5,5.5,3.25,1.75,4.333333333333333,1,2,Roman Catholic,Not important,Never,0.17324561403508776,gss_2024_1710,Can't be too careful,40,Pretty happy,0.013157894736842146,20240112230755,06:00:00,0.008438818565400852
2024HU1018986_1,WI,Wisconsin,Midwest,02103,Male,27,Black or African American alone,Not Spanish/Hispanic/Latino,Associate's degree,OFF-Couriers And Messengers,TRN-Couriers And Messengers,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),1651,561,6.5,3,7,6,7,3.75,1,3.3333333333333335,1,3,Evangelical Protestant,Important,Once or twice a month,0,gss_2016_852,Can trust people,50,Not too happy,0.16885964912280704,20230111221730,11:00:00,0.014767932489451518
2024HU1428729_1,DC,District of Columbia,South,00106,Male,67,Hispanic or Latino (any race),Salvadoran,Grade 5,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),3,N/A (less than 15 years/greater than 50 years/ male),260,2458,4.5,3.5,6,5,4,2.5,3,3,5,6,Undifferentiated Christian,Important,Every week,0.02631578947368418,gss_2016_1254,Can't be too careful,57,Very happy,0.015350877192982448,20240403240943,06:00:00,0.006329113924050667
2024HU0603469_2,FL,Florida,South,03103,Female,80,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),45,4181,3,6.5,7,5.5,6,2.25,1.75,3.3333333333333335,3,2,Other religion,Important,Almost every week,0.019736842105263164,gss_2016_2814,Can trust people,3,Very happy,0.030701754385964897,20230706232303,07:30:00,0
2024HU1429764_1,MD,Maryland,South,00602,Male,69,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Education And Childcare Administrators,EDU-Elementary And Secondary Schools,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),47,3085,4.5,7,6,7,6,1,3.25,2.6666666666666665,7,6,Undifferentiated Christian,Important,Every week,0.002192982456140413,gss_2016_2612,Can trust people,40,Very happy,0.006578947368421129,20231211230504,09:30:00,0
2024HU1276754_1,MS,Mississippi,South,00700,Male,63,Black or African American alone,Not Spanish/Hispanic/Latino,Grade 10,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),77,61,4,5,4,5,4,3,1.75,3.3333333333333335,1,2,Evangelical Protestant,Important,Almost every week,0.17763157894736847,gss_2024_3195,Can't be too careful,35,Pretty happy,0.17324561403508776,20231211230960,09:00:00,0.014767932489451518
2024HU0783121_1,NC,North Carolina,South,01206,Female,57,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree","SAL-Sales Representatives, Wholesale And Manufacturing",WHL-Wholesale Trade Agents And Brokers,Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),185,4383,4.5,6,7,6,6,1.5,3,2,7,6,Undifferentiated Christian,Important,Every week,0.002192982456140413,gss_2018_935,Can't be too careful,36,Pretty happy,0.015350877192982448,20240706242354,07:00:00,0
2024HU1014745_1,TX,Texas,South,06603,Male,74,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",CLN-Landscaping And Groundskeeping Workers,PRF-Landscaping Services,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),120,603,2.5,3.5,5,4.5,3.5,2,2.25,3.3333333333333335,6,5,Not religious,Not important,Never,0.04824561403508776,gss_2018_701,Can't be too careful,40,Very happy,0.1864035087719298,20240807242173,07:00:00,0
2024HU0418929_2,NC,North Carolina,South,03400,Male,22,Hispanic or Latino (any race),Mexican,Bachelor's degree,FIN-Accountants And Auditors,"PRF-Accounting, Tax Preparation, Bookkeeping, And Payroll Services",Never married or under 15 years old,Brother or sister,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),75,110,4,4,4,4,4,3,2.75,3.6666666666666665,3,4,Other religion,Important,Almost every week,0.16885964912280704,gss_2024_1710,Can't be too careful,40,Pretty happy,0.02412280701754399,20240908240127,11:00:00,0.002109704641350185
2024HU0584266_1,NJ,New Jersey,Northeast,00502,Male,67,Hispanic or Latino (any race),Peruvian,12th grade - no diploma,TRN-Driver/Sales Workers And Truck Drivers,WHL-Grocery And Related Product Merchant Wholesalers,Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),97,39,2.5,5,5,3.5,4,3,2.5,1,3,4,Not religious,Not important,Never,0.20833333333333337,gss_2016_493,Can't be too careful,21,Not too happy,0.23245614035087725,20231010231365,06:30:00,0.02742616033755274
