model,wording,condition,choice_idx
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,evening,0
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,morning,1
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,annotated,empty,2
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,evening,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,morning,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-8b,plain,empty,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,evening,0
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,morning,1
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,annotated,empty,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,evening,0
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,morning,1
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-14b,plain,empty,2
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,evening,0
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,morning,1
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,1
qwen/qwen3-32b,annotated,empty,1
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,1
qwen/qwen3-32b,annotated,empty,0
qwen/qwen3-32b,annotated,empty,1
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,evening,0
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,morning,1
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,0
qwen/qwen3-32b,plain,empty,1
qwen/qwen3-32b,plain,empty,0
