agent_id,tick,from_stance,to_stance,utterance,n_heard,ref_others
2024GQ0118602_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I think they're onto something — switching back and forth twice a year just seems like more hassle than it's worth, so I'd rather we just pick standard time and stick with it.",3,False
2024HU0017836_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I've kept a 7 a.m. rise for years, and standard time just aligns with how the body naturally wants to work — no sense disrupting a system that's held up fine for generations.",3,False
2024HU0017836_1,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I side with sticking to the current system — it's worked for generations, and I see no compelling reason to disrupt an established practice just to chase some theoretical benefit.",3,False
2024HU0027257_2,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I keep a steady routine up by 9 and at the desk by 10, so I don't want mornings shoved into darkness longer than they need to be — sticking with standard time year-round just keeps things predictable, and predictable is what works.",3,False
2024HU0099577_1,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","I hear where y'all are coming from about mornings, but honestly with my sleep schedule the way it is, I'd love more light in the evenings — either way, I just wish we'd all agree to stop the twice-a-year shuffle and settle into something steady.",3,True
2024HU0099577_1,2,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I really agree with what everyone's saying here — steady standard time just seems kinder to our bodies and easier on families, kids at bus stops, and folks whose sleep already struggles. No need to keep putting everyone through that twice-a-year upheaval when we can just settle into one steady rhythm.",4,True
2024HU0153965_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the folks saying stick to standard time — it just keeps things steady and in line with how we're naturally wired, no sense flipping the clocks around twice a year for nothing.",3,True
2024HU0180250_2,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I'm up at the same time every day rain or shine, so the switch don't bother me much—it's just how it's always been, and I don't see a good enough reason to go tearing up a tradition that's worked fine this long.",3,False
2024HU0180250_2,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Being up before dawn for work, I like the sun coming up early rather than late - standard time just fits the rhythm the Lord set for us, and it'd be one less thing to throw folks off twice a year.",3,False
2024HU0274798_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear both sides, but honestly, if we're gonna change anything, I'd lean toward locking in standard time — my body runs on that early sunrise, and I don't need one more disruption in a week that's already packed wall-to-wall with work.",3,True
2024HU0274798_2,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I hear folks on both sides, but honestly, we've made the switch work for decades and I'm not one to chase a shiny new fix without knowing how it shakes out for schools, business hours, all of it—slow and steady's kept things running smooth enough for me.",3,True
2024HU0287955_2,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with the ladies here—there's something to be said for sticking with the natural order of things instead of tinkering with the clocks. Getting my crew in early and having that morning light steady just makes for a smoother, more orderly way to run things.",3,True
2024HU0287955_2,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I understand the appeal of steady light, but there's real wisdom in the system we've had for generations—it's worked fine, and I'm wary of upending something that's woven into how folks run their lives, schools, and businesses just for the sake of change.",4,False
2024HU0401108_2,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the neighbors on this one — standard time year-round just respects the natural order we've always lived by, and there's real comfort in everyone's schedules staying steady and predictable rather than getting shaken up twice a year.",4,True
2024HU0404475_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the others on this one—being up at six every day, I like having that morning light match my routine, it just feels natural and steady. No need to keep messing with the clocks twice a year when standard time has worked fine all along.",3,True
2024HU0418929_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I think sticking with standard time makes the most sense — it's what we've always known, and there's no need to keep messing with something that's worked fine for so long. Consistency just feels right to me, especially when it lines up with how most folks naturally live their days.",3,False
2024HU0462433_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm out the door by seven every day, so I'd rather have the light match that than mess with something that's worked fine for years — if we're gonna change anything, standard time at least makes sense for early risers like me.",3,False
2024HU0478006_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear what these ladies are saying, and I lean toward standard time myself — there's something right about keeping the morning light steady like the Good Lord intended, without us fiddling with the clocks and throwing folks' rhythms off twice a year.",3,False
2024HU0618975_1,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Well, I do think those young men have a point — standard time just follows the sun the way it's meant to, and I've never seen the sense in all that clock-fussing twice a year when the old way served us just fine.",3,False
2024HU0649841_2,2,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)",No preference,"Honestly, whatever folks land on I'll go along with — I sleep till one anyway, so the sun's already up no matter what. Just seems like there's good sense on both sides, and I don't figure it's worth stirring up a fuss over.",3,True
2024HU0649841_2,3,No preference,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear so many of you leaning toward steady standard time, and honestly it makes good sense to me too — bright, predictable mornings and no more clock-fiddling twice a year sounds like the right kind of stability.",4,False
2024HU0653865_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the fellas who want standard time year-round—no sense fiddling with something that's worked well enough for generations, and I like my mornings bright when I sit with my coffee.",3,False
2024HU0695760_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with sticking to standard time — I'm up at eight with my coffee same as always, and there's no sense fiddling with the clocks when what we've got works just fine.",3,True
2024HU0695760_1,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"Well, I reckon if it's worked all these years, no sense fussing with it now — we've managed just fine switching back and forth, and I'd rather not see folks stirred up over something that's never caused real trouble.",4,False
2024HU0710471_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with sticking to standard time year-round — my kid needs to be out at that bus stop, and it just makes more sense to keep mornings steady instead of fiddling with the clocks.",3,True
2024HU0739423_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I think I agree with sticking to standard time year-round — waking up before the sun's even up feels off to me, and it just seems like the steadier, more sensible way to go.",3,True
2024HU0766244_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with keeping standard time year-round—there's real wisdom in sticking with the natural rhythm our bodies and communities have followed for generations, rather than chasing some modern fix that upends things twice a year.",4,True
2024HU0780563_3,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I get up early anyway, so sticking with standard time just makes sense to me—it's how things have always been, and I don't see much good reason to mess with that.",3,False
2024HU0780563_3,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I hear the case for standard time, but honestly, switching twice a year is just what we've always known, and I don't think we should mess with tradition without a really good reason to.",3,False
2024HU0793334_3,2,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I sleep in kinda late anyway so it's not a huge deal to me, but ditching the switching and just keeping standard time sounds less annoying — my body clock's already messed up enough without changing it twice a year.",3,False
2024HU0838724_2,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","I'm retired now so an early sunrise don't do much for me, but I think about the workin' folks and kids — more light in the evenin' means families get time together outside, and that's good for everybody, not just the early risers among us.",3,False
2024HU0838724_2,3,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear all this talk about tradition and 'what's worked before,' but that's not really the point for me — it's about fairness for regular folks, especially kids waiting for the bus and working people whose bodies just do better with morning light. Permanent standard time isn't about clinging to the past, it's about picking the option that actually serves everybody's well-being instead of jerking us around twice a year.",4,False
2024HU0870136_1,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with the consensus here - standard time has served us well for generations, and there's real wisdom in keeping that steady morning light rather than chasing after some newer arrangement just for the novelty of it.",4,True
2024HU0932187_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear what the ladies are saying about that early morning light — makes sense to me too, especially working outdoors, you want that sun up before you're out there sweating in the heat later. Switching twice a year just messes with everybody's rhythm for no real reason, so I'd say let's keep it simple and stick to one time that lines up with how our bodies actually work.",3,False
2024HU0964559_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the other ladies on this one—there's real comfort in the sun being up for morning Mass and errands, and honestly, I think our bodies and our routines do better when we're not messing with the clocks twice a year.",3,False
2024HU0964559_1,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I'll add my voice to that dear lady's and the young man's — we've managed just fine switching the clocks all these years, and I see no good reason to go turning things upside down now. Some things are worth keeping steady, even if they're a small bother twice a year.",3,False
2024HU0964559_1,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the ladies on this one—having that morning light steady year-round just feels right, whether it's for getting to Mass or just starting the day with a settled mind. No sense fussing with the clocks when a little order serves us all better.",3,False
2024HU1018986_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I hear these folks talkin' about God's rhythm and natural order, and I respect that — my own faith tells me the same thing, mess with what's already set and you throw everything off. I'm out at all hours doing deliveries, so I ain't scared of dark or early mornings, but standard time just fits how things were meant to run — no need to keep switchin' twice a year for nothin'.",3,False
2024HU1018986_1,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"Man's been switchin' clocks for generations, and there's a reason it stuck around this long — some things don't need fixin' just 'cause folks get restless with tradition.",3,False
2024HU1018986_1,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Standard time's the way to go — there's a natural order to sunrise and sunset that's been working fine for longer than any of us have been alive, no need to mess with it twice a year.",4,False
2024HU1019293_1,1,No preference,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Oh, I don't like to make a fuss either way, but I do notice I sleep better when the mornings come earlier, so I suppose I lean toward just keeping it steady like that year-round.",3,False
2024HU1019293_1,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",No preference,"Oh, I don't get out enough to have strong feelings on it either way, but I do like that early morning light with my coffee, so I can see why folks lean toward standard time.  Whatever's easiest for everybody is fine by me, really.",3,False
2024HU1019293_1,3,No preference,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Well, I don't have to be anywhere early these days, but I do like waking up to that morning light, so I suppose standard time sounds fine to me — whatever's easiest on everybody, really.",3,False
2024HU1130594_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I think I'd feel more settled with standard time year-round — my body just does better with the natural light in the morning, and honestly, I like keeping things the way they've always been rather than messing with it.'",3,False
2024HU1132317_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the folks favoring standard time year-round—being up early myself, that morning light before work just feels right, and there's wisdom in sticking with what's worked for generations rather than tinkering with it.",3,False
2024HU1162514_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm out early most mornings getting to job sites, so I'd rather have that daylight up front and keep things steady year-round instead of fiddling with clocks twice a year for no good reason.",3,False
2024HU1211918_1,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I tend to agree with sticking to what we know — we've managed just fine with the twice-a-year switch for generations, and there's a kind of fairness in everyone adjusting together rather than picking winners and losers with the sunlight.",3,True
2024HU1211918_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I have to side with the ladies here—there's something to be said for keeping mornings bright and steady rather than fussing with the clocks, it just seems like the fair and sensible way to go for most everyone's routines.",3,True
2024HU1211918_1,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I have to agree with that first lady — we've done it this way for generations and it hasn't done us any harm, so I don't see the need to upend something that isn't broken. There's a comfort in keeping to the tried and true, even if it means fussing with the clocks twice a year.",3,True
2024HU1211918_1,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I have to agree with the consensus building here—there's something to be said for bright, dependable mornings that let you start the day settled rather than in the dark. Seems like the sensible, steady choice that serves everyone well.",3,True
2024HU1215879_1,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I reckon there's some wisdom in the way it's always been done — my wife and I have gone through the time changes near fifty years now, and it hasn't done us any harm. I'm inclined to leave well enough alone rather than go tinkering with something that's worked fine all this while.",3,False
2024HU1215879_1,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'll add my voice to that — there's a rightness to the sun matching the clock, and after all these years I've come to trust the old ways over tinkering with things twice a year.",3,False
2024HU1254879_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the others on this one — having the sun up when I head off to school just feels right, and honestly, sticking with what's familiar rather than fussing with the clocks twice a year seems like the more sensible, steady choice.",3,True
2024HU1276754_1,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I reckon I agree with keepin' standard time year-round—the Lord set the day to start with the sun, and I don't see much good reason to go changin' that rhythm twice a year.",3,True
2024HU1277668_2,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I hear y'all on the switching being a hassle, but honestly I think I'd rather just keep it how it's always been — there's something comforting about sticking to what we know, especially with everything else feeling so uncertain right now.",3,False
2024HU1277668_2,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm up around seven too, and I really feel like standard time just lines up with how things are supposed to naturally flow, morning light and all. Switching the clocks twice a year just adds stress for no real reason, so let's keep it simple and steady.",4,False
2024HU1290540_2,4,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I agree with the other ladies — there's a comfort in sticking to what we know, and my body already wakes up like clockwork at 7:30 no matter what, so I don't feel a real need to mess with tradition.",3,True
2024HU1295491_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I get up at eight no matter what, so I like the sun matching my clock instead of fighting it — standard time just feels more natural to me, like things are the way they're supposed to be.",3,False
2024HU1295491_2,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I hear both sides, but I've been getting up at eight for work my whole life through every clock change, and I don't see much reason to shake things up now — sticking with what we know just feels safer to me.",3,True
2024HU1295491_2,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Yeah, I'm with them on this one — sticking to standard time just feels right, no need to mess with the clocks when the old way worked fine for everybody.",5,False
2024HU1303259_2,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,I agree with what that dear woman said — we've been changing the clocks my whole life and it's never done us any harm. There's a comfort in keeping to the old ways rather than stirring things up just for change's sake.,3,True
2024HU1303259_2,2,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I agree with the ladies here — mornings with good light for church and for tending to things just settle the soul, and there's a peace in keeping God's daylight matched to our natural rhythm instead of fussing with the clocks every few months.",4,True
2024HU1303259_2,3,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"Well, I do appreciate that folks are quoting me now - but truly, I stand by it. We've kept this rhythm for so long, and there's a comfort in the steadiness of it, even if it means a little fuss twice a year. No sense unsettling something that's held us together just fine all this time.",4,False
2024HU1303259_2,4,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I do agree with the ladies about the morning light—starting the day steady and bright, in time for prayers and a settled heart, just seems the wiser way to live.",4,True
2024HU1382157_2,1,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I'm with the folks saying stick to one schedule — I'm up at 8 no matter what, and having the sun with me in the morning just fits how I run my day. No need to keep flipping things around twice a year when standard time works fine.",3,True
2024HU1382157_2,2,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)",Keep switching the clocks twice a year,"I'm with that 94-year-old lady on this one — we've been switching clocks my whole life and it's never done real harm, so I don't see the need to go turning things upside down now. There's something to be said for sticking with what's worked all along instead of chasing the latest fix.",3,False
2024HU1395724_4,1,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","I get the 'it's always been this way' thing, but honestly switching twice a year just messes with my sleep for no real reason — I'd rather try permanent DST and have more light after work to actually enjoy the desert before I'm too tired to move.'",3,False
2024HU1395724_4,3,"Adopt permanent daylight saving time (clocks stay on summer time all year: later sunrises, later sunsets)","Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","I don't wake up till 9 most days, so I get why folks think permanent DST sounds nice for evening light, but I've looked into how it messes with sleep cycles long-term and standard time actually checks out better science-wise, not just tradition talk.",3,False
2024HU1437840_1,3,Keep switching the clocks twice a year,"Adopt permanent standard time (clocks stay on winter time all year: earlier sunrises, earlier sunsets)","Honestly, I think there's something to be said for keeping our clocks lined up with the sun the way it's always been — it just feels more grounded than chasing a change that upends everyone's routine for no real reason.",3,True
